material_id;diameter;body_length;wall_thickness;laminate;shoulder;closure;closure_material;packaging_code;lacquer;printing_document;customer_id
268977;30.0;110;0.5;;N-15D0001050;H-1530090002;607593;VPU077;LA0172;PD051094;100630
269052;25.0;125;0.35;PF0116;N-0900000030;H-0916040003;615189;VK25601;LA0180;PD051111;100332
269059;40.0;120;0.5;;P-2100Z01100;VS2139030G01;607989;VPU049;LA0142;PD051116;100643
269060;40.0;120;0.5;;P-2100Z01100;VS2139030G01;607989;VPU049;LA0142;PD051119;100643
269064;19.0;85;0.5;PF0112;N-1100000030;HI1119057R01;240353;VK19201;LA0180;PD051136;100807
269065;19.0;85;0.5;PF0116;N-1100000030;HI1119057R01;240353;VK19201;LA0180;PD059748;100807
269066;16.0;52;0.5;PF0404;N-0900000030;H-0916040003;605481;VK16101;LA0180;PD051138;100324
269072;40.0;140;0.5;;P-2100Z01100;VS2138030M02;610749;VPU048;LA0143;PD051141;100642
269073;40.0;140;0.5;;P-2100Z01100;VS2138030M02;610749;VPU048;LA0143;PD051142;100642
269081;50.0;190;0.5;;P-2100Z01100;VS2148030M02;609086;VPU054;LA0143;PD051143;100642
269082;50.0;190;0.5;;P-2100Z01100;VS2148030M02;609086;VPU054;LA0143;PD051144;100642
269083;50.0;140;0.5;;P-2100Z01100;VS2148030M02;609086;VPU052;LA0143;PD051145;100642
269084;50.0;140;0.5;;P-2100Z01100;VS2148030M02;609086;VPU052;LA0143;PD051146;100642
269153;50.0;140;0.5;;P-2100Z01100;VS2148030M02;609086;VPU052;LA0143;PD051157;100642
269154;50.0;140;0.5;;P-2100Z01100;VS2148030M02;609086;VPU052;LA0143;PD051158;100642
269158;25.0;70;0.4;;N-1110002035;HI1125057M01;617725;VPU037;LA0142;PD051162;100643
269168;35.0;135;0.5;;N-15D0001050;HS1534050M02;617598;VPU047;LA0143;PD051174;100642
269169;35.0;135;0.5;;N-15D0001050;HS1534050M02;617598;VPU046;LA0173;PD051175;100642
269170;35.0;120;0.5;PF0116;P-2100Z00100;VS2134050G01;609948;VK35301;LA0170;PD049852;101099
269171;35.0;120;0.5;PF0116;P-2100Z00100;VS2134050G01;609948;VK35301;LA0180;PD051765;101099
269172;35.0;120;0.5;PF0116;P-2100Z00100;VS2134050G01;609948;VK35301;LA0170;PD052477;101099
269173;35.0;120;0.5;PF0116;P-2100Z00100;VS2134050G01;609948;VK35301;LA0170;PD047193;101099
269174;35.0;120;0.5;PF0116;P-2100Z00100;VS2134050G01;609948;VK35301;LA0180;PD053943;101099
269175;35.0;120;0.5;PF0116;P-2100Z00100;VS2134050G01;609948;VK35301;LA0170;PD052129;101099
269176;35.0;120;0.5;PF0116;P-2100Z00100;VS2134050G01;609948;VK35301;LA0170;PD052476;101099
